API,excipient,API_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,API_silica_type,exc_silica_type,API_d10,API_d50,API_d90,API_d32,API_surf_eng,API_density,exc_d10,exc_d50,exc_d90,exc_d32,exc_surf_eng,exc_density,FF,FF_regime,API AR(-),API 1/AR,API Sphericity(-),API Elongation(-),exc AR(-),exc 1/AR,exc Sphericity(-),exc Elongation(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,0,0,0,0,0,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,2.66,2,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,25,0,0,1,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,4.37,3,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,25,0,0,2,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,4.06,3,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,50,0,0,1,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,5.32,3,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,50,0,0,2,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,6.13,4,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,100,0,0,1,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,5.96,3,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,100,1,100,0,0,2,0,3.1,20,82,7.3,0.041,1290,0,0,0,0,0,0,7.02,4,0.55,1.818181818,0.81,0.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111,100,0,0,0,0,0,0,2.5,6.9,15,4.5,0.039545,1263,0,0,0,0,0,0,1.4,1,0.66,1.52,0.90,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111,100,1,25,0,0,1,0,2.5,6.9,15,4.5,0.039545,1263,0,0,0,0,0,0,5.32,3,0.66,1.515151515,0.9,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111,100,1,25,0,0,2,0,2.5,6.9,15,4.5,0.039545,1263,0,0,0,0,0,0,4.91,3,0.66,1.515151515,0.9,0.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
