API,excipient,API_percent,exc_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,FF,FF_regime
1,11,75,25,0,0,1,100,2.09,2
1,11,75,25,0,0,0,0,2.1045,2
1,11,100,0,0,0,0,0,2.66,2
1,11,75,25,1,25,0,0,2.8547,2
1,11,75,25,1,50,0,0,2.9881,2
1,11,50,50,0,0,1,100,3.53,2
1,11,50,50,0,0,0,0,3.6175,2
1,11,25,75,0,0,0,0,6.1674,3
1,11,50,50,1,25,0,0,6.6816,3
1,11,50,50,1,50,0,0,6.7643,3
1,11,100,0,1,100,0,0,7.02,3
1,11,75,25,1,100,0,0,7.9464,3
1,11,0,100,0,0,0,0,9.4,3
1,11,50,50,1,100,0,0,10.0106,4
1,11,25,75,1,50,0,0,10.2367,4
1,11,25,75,1,75,0,0,12.2534,4
1,11,75,25,1,75,0,0,12.7795,4
1,11,50,50,1,1,0,0,12.9116,4
1,11,50,50,1,75,0,0,13.1528,4
1,11,25,75,1,25,0,0,13.5836,4
1,11,25,75,1,1,0,0,14.8,4
1,11,25,75,1,100,0,0,14.8761,4
1,11,0,100,0,0,1,100,15,4
1,11,75,25,1,1,0,0,16.1753,4
1,11,25,75,0,0,1,100,20.17,4
1,22,0,100,0,0,0,0,2.35,2
1,22,25,75,0,0,0,0,2.3884,2
1,22,50,50,0,0,0,0,2.4985,2
1,22,100,0,0,0,0,0,2.66,2
1,22,75,25,0,0,0,0,2.7617,2
1,22,25,75,1,25,0,0,3.0938,2
1,22,25,75,1,50,0,0,3.2455,2
1,22,25,75,1,75,0,0,3.3863,2
1,22,50,50,1,25,0,0,3.4857,2
1,22,75,25,1,100,0,0,3.8197,2
1,22,50,50,1,50,0,0,4.0031,3
1,22,25,75,1,100,0,0,4.4934,3
1,22,50,50,1,75,0,0,4.5626,3
1,22,75,25,1,50,0,0,4.8387,3
1,22,50,50,1,100,0,0,5.0035,3
1,22,25,75,1,1,0,0,5.2241,3
1,22,75,25,1,75,0,0,5.3792,3
1,22,25,75,0,0,1,100,5.68,3
1,22,50,50,0,0,1,100,6.48,3
1,22,100,0,1,100,0,0,7.02,3
1,22,50,50,1,1,0,0,7.5981,3
1,22,75,25,0,0,1,100,8.64,3
1,22,75,25,1,1,0,0,9.3555,3
1,22,75,25,1,25,0,0,12.4332,4
